"","site","coral_area.cm2","coral_height.cm","Df_tot","Da_tot","Cv_tot"
"1","MRB Tour",593.761011528471,31,10,0,0
"2","3-Jul-05",673.871624195011,22,9,0,0
"3","",3023.78292908018,50,68,0,0
"4","",2497.56615960389,37,10,0,100
"5","",2350.69670304856,44,60,0,0
"6","",1661.902513749,34,56,0,0
"7","",1130.97335529233,38,37,0,0
"8","MRB EDGE",918.915851175014,30,36,0,0
"9","3-Jul-05",1814.26975744811,38,24,3,0
"10","MRB OUT",706.858347057703,27,26,0,0
"11","3-Jul-05",1809.55736846772,37,5,1,20
"12","",961.327351998477,19,0,1,20
"13","",408.407044966673,20,0,1,0
"14","",681.725605828985,26,22,0,0
"15","",2162.98654199657,42,30,6,0
"16","",1244.07069082156,36,21,0,0
"17","",1022.58840874348,26,21,5,0
"18","",424.115008234622,18,14,0,0
"19","",1731.01755212798,37,21,5,0
"20","",2327.92015631004,36,19,0,8
"21","",1187.52202305694,27,16,3,0
"22","",1857.46665643497,39,17,0,25
"23","",614.966761940202,22,14,1,0
"24","",1963.49540849362,37,32,4,0
"25","",376.991118430775,18,5,6,0
"26","",747.699051554371,17,5,0,0
"27","",3573.56164345839,29,36,0,20
"28","",328.296432300133,18,0,4,0
"29","",589.048622548086,22,5,3,0
"30","",1357.16802635079,26,30,0,0
"31","",1734.15914478157,32,34,0,500
"32","",1308.47334022015,26,11,1,0
"33","",1950.92903787926,26,20,1,6
"34","",1808.77197030432,32,29,0,50
"35","",1492.25651045515,26,17,0,30
"36","",1319.46891450771,28,11,0,500
"37","",1492.25651045515,30,40,3,0
"38","",2368.7608608067,37,55,0,500
"39","",1727.87595947439,26,12,0,2
"40","",1845.685683984,32,28,0,150
"41","",2473.21881653856,37,6,0,500
"42","",1924.22550032375,35,28,0,500
"43","",1731.80295029137,35,16,2,4
"44","",1074.42468752771,24,5,0,4
"45","",1062.64371507675,23,34,0,250
"46","",1590.43128087983,36,28,NA,0
"47","",984.8892969004,14,4,4,0
"48","",607.898178469625,28,11,1,0
"49","6-Jul-05",1545.66358556618,31,20,0,0
"50","",1507.9644737231,28,30,0,50
"51","",603.18578948924,10,2,0,0
"52","",1104.26981773681,34,48,3,0
"53","",1278.62821001105,31,32,0,500
"54","",1835.47550785984,41,29,0,30
"55","",1696.46003293849,30,10,0,500
"56","TRAN'S",2144.13698607503,19,0,0,0
"57","5-Jul-05",697.433569096934,20,0,0,0
"58","",226.194671058465,16,3,0,0
"59","",827.024266057513,12,9,0,10
"60","",842.732229325462,20,0,0,0
"61","",587.477826221291,10,0,0,0
"62","",1127.04636447534,29,12,0,0
"63","",692.721180116549,10,3,0,0
"64","",754.767635024948,25,0,0,0
"65","",1413.71669411541,30,13,0,0
"66","",1075.21008569111,25,1,0,0
"67","",667.588438887831,21,0,0,0
"68","",961.327351998477,21,0,0,0
"69","",747.699051554371,24,1,0,0
"70","",1014.7344271095,27,9,0,0
"71","",1570.7963267949,17,14,0,0
"72","TRAN'S",417.831822927442,11,0,0,0
"73","CREST",958.971157508284,18,0,0,0
"74","5-Jul-05",1105.84061406361,25,0,0,1
"75","",687.223392972767,20,0,0,0
"76","",1314.75652552733,17,25,10,0
"77","",549.778714378214,18,0,0,0
"78","",979.391509756618,20,3,0,0
"79","",3675.66340470006,35,10,0,250
"80","",1899.09275909503,14,26,1,0
"81","",1374.44678594553,24,14,0,0
"82","",879.645943005142,17,0,0,0
"83","",804.247719318987,21,0,0,0
"84","",636.172512351933,21,2,0,0
"85","",675.442420521806,14,8,0,0
"86","",490.873852123405,22,6,0,0
"87","",570.199066626548,25,5,0,0
"88","MAHAREPA",2309.0706003885,25,24,0,25
"89","FLOW PRED",1140.39813325309,27,12,1,0
"90","5-Jul-05",1452.20120412188,26,0,0,0
"91","MRB",578.053048260522,11,8,0,0
"92","",204.203522483337,13,0,0,0
"93","FLOW PRED",747.699051554371,22,11,0,0
"94","6-Jul-05",1449.05961146829,30,13,2,0
"95","",1220.50874591963,28,15,0,0
"96","",1756.15029335669,33,6,0,0
"97","",751.626042371358,20,15,0,0
"98","",1531.52641862502,28,33,0,0
"99","",1520.53084433746,30,23,0,0
"100","OPUNOHU 0",791.681348704628,23,44,4,20
"101","NORTHSHORE",373.849525777185,20,21,0,0
"102","6-Jul-05",1253.49546878233,28,13,2,0
"103","",959.756555671682,22,8,0,0
"104","",1223.65033857322,30,31,5,0
"105","",1449.05961146829,34,28,1,200
"106","OPUNOHU 0",1256.63706143592,29,43,2,0
"107","FLOW PRED",1163.96007815502,27,23,3,100
"108","6-Jul-05",871.791961371168,25,9,2,0
"109","",726.49330114264,21,25,1,0
"110","",1413.71669411541,26,19,2,0
"111","",298.45130209103,13,10,1,0
"112","OPUNOHU .75",2081.30513300324,31,39,12,0
"113","Northshore",1005.30964914873,22,21,0,0
"114","6-Jul-05",1452.20120412188,27,34,0,0
"115","",1960.35381584003,33,34,2,0
"116","",1943.86045440868,31,48,0,0
"117","",1979.20337176157,28,6,0,1
"118","",572.55526111674,15,4,17,0
"119","RED MARKER",2238.38476568273,38,27,0,0
